Available,Cost,Event name,Category,Organizer,Link,Date,Beginning Date,Ending Date,Time,Location,Photo,Summary
,,《重建共善：現代社羣關係的再想像》讀書會,01. 與書相遇,hk_nomads,,"26/3, 26/4, 24/5, 26/6",,,8-10pm,獵人書店,,"【《重建共善：現代社羣關係的再想像》讀書會】 @hk_nomads | 26/3, 26/4, 24/5, 26/6 | 獵人書店"
,,海洋手工皂 x 單身交友工作坊,12. 整下野,breathe.meh,,"27/4, 26/5, 26/6",,,2:30-5pm,鑽石山,,"【海洋手工皂 x 單身交友工作坊】 @breathe.meh | 27/4, 26/5, 26/6 | 鑽石山"
,,香港賽馬會「暮齡自在」舞蹈教育計劃 - 「尋藝空間2024」,13. 運動下,pod_jc_elderlydance,,"18/5, 29/6",,,,Airside,,"【香港賽馬會「暮齡自在」舞蹈教育計劃 - 「尋藝空間2024」】 @pod_jc_elderlydance | 18/5, 29/6 | Airside"
,,「雪櫃暖說話 - 打開家庭心底話」互動工作坊,10. 親子關係,bgcahk,,"18/5, 25/5, 1/6, 8/6, 15/6, 22/6",,,,香港小童群益會總部1樓,,"【「雪櫃暖說話 - 打開家庭心底話」互動工作坊】 @bgcahk | 18/5, 25/5, 1/6, 8/6, 15/6, 22/6 | 香港小童群益會總部1樓"
,,藝術應用證書工作坊,07. 藝術野,sinceconceptstore,,"28/5, 22/6",,,,SINCE Concept Store,,"【藝術應用證書工作坊】 @sinceconceptstore | 28/5, 22/6 | SINCE Concept Store"
,,《動物志》 讀書會│陳家富,01. 與書相遇,vwlink.hk,,"4, 11, 18, 25/6",,,7:30-9:30pm,online,,"【《動物志》 讀書會│陳家富】 @vwlink.hk | 4, 11, 18, 25/6 | online"
,,建造綠色工作坊 - 墊上塑形普拉提,13. 運動下,cic.zcphk,,"5/6, 26/6",,,7-8pm,建造業零碳天地,,"【建造綠色工作坊 - 墊上塑形普拉提】 @cic.zcphk | 5/6, 26/6 | 建造業零碳天地"
,,自然瑜伽伸展體驗 ,13. 運動下,highrock_stewards,,"11, 18, 25/6",,,10am-12pm,香港神託會靈基營,,"【自然瑜伽伸展體驗 】 @highrock_stewards | 11, 18, 25/6 | 香港神託會靈基營"
,Free,【招募試坐員】一齊喺城市入面揾下可以坐喺邊？！,04. 香港人社區文化,livingkatung,https://www.instagram.com/p/C78KifTvMTt/?igsh=NThzam5icG43NTVp,"15, 21, 22/6",,,,油尖旺區,,"【【招募試坐員】一齊喺城市入面揾下可以坐喺邊？！】 @livingkatung | 15, 21, 22/6 | 油尖旺區"
,, Stone Fitness x 聯和市場嘅 HIIT Night Class,13. 運動下,luenwomarket.hk,,"18/6, 25/6",,,7:15-8:15pm,聯和市場,,"【 Stone Fitness x 聯和市場嘅 HIIT Night Class】 @luenwomarket.hk | 18/6, 25/6 | 聯和市場"
,,熔爐行為藝術坊2024——七月主題: [身體練習之源頭],07. 藝術野,performance_art_furnace_hk,,21-27/7,,,,灣仔富德樓,,【熔爐行為藝術坊2024——七月主題: [身體練習之源頭]】 @performance_art_furnace_hk | 21-27/7 | 灣仔富德樓
